Gene_1	Gene_2
CDK1	RNF4
ARL8B	RNF4
CSPG4	RNF4
ZFP90	RNF4
C1orf43	RNF4
TPBG	RNF4
TAB3	RNF4
KPNA4	RNF4
TMEM97	RNF4
ERLIN1	RNF4
TDG	RNF4
UCHL1	RNF4
RPL29	RNF4
PARVA	RNF4
LTF	RNF4
AAR2	RNF4
ZMPSTE24	RNF4
ATF4	RNF4
SLC27A4	RNF4
RTN3	RNF4
TOP2A	RNF4
PIAS4	RNF4
IPO9	RNF4
TBCD	RNF4
NCOR2	RNF4
UBE2A	RNF4
GSC2	RNF4
ATXN2	RNF4
SLC27A1	RNF4
RAB8B	RNF4
FBL	RNF4
PRKDC	RNF4
ZNF646	RNF4
CBL	RNF4
TMX2	RNF4
TXNDC12	RNF4
VCP	RNF4
LCE2C	RNF4
DNTTIP2	RNF4
TERF2	RNF4
GEMIN4	RNF4
ZNF467	RNF4
HINT2	RNF4
TPI1	RNF4
RPL10	RNF4
SGPL1	RNF4
CENPC	RNF4
YEATS2	RNF4
ZNF664	RNF4
STX16	RNF4
PDGFRB	RNF4
TRIP13	RNF4
RNF185	RNF4
ABCB8	RNF4
USP34	RNF4
CDC20	RNF4
CALR	RNF4
P4HTM	RNF4
MISP	RNF4
FADD	RNF4
PHLDA1	RNF4
TMEM205	RNF4
VTI1B	RNF4
PCBP3	RNF4
CLPTM1L	RNF4
THOC2	RNF4
LCE1F	RNF4
RARS1	RNF4
HNRNPAB	RNF4
ATP1B3	RNF4
RNF168	RNF4
XPO1	RNF4
AIM2	RNF4
SLPI	RNF4
DDX39A	RNF4
ZDHHC5	RNF4
S100A9	RNF4
XPO5	RNF4
MBOAT7	RNF4
FASN	RNF4
AGPS	RNF4
SF3A2	RNF4
EIF3E	RNF4
NOC3L	RNF4
LCE5A	RNF4
SLC39A6	RNF4
CNOT1	RNF4
SUN2	RNF4
ZNF502	RNF4
CIP2A	RNF4
RPL27A	RNF4
EXOC8	RNF4
VENTX	RNF4
ABCB7	RNF4
SLC25A5	RNF4
ATP5MF	RNF4
LRP1	RNF4
RPL7A	RNF4
MARS1	RNF4
ZBTB6	RNF4
NDUFB11	RNF4
HLA-C	RNF4
UBQLN1	RNF4
MMTAG2	RNF4
ZNF696	RNF4
UBE2E3	RNF4
INTS8	RNF4
POF1B	RNF4
SNRPD3	RNF4
PHF3	RNF4
SCARB1	RNF4
INTS1	RNF4
ONECUT1	RNF4
RPS7	RNF4
ZNF462	RNF4
GRN	RNF4
ZBTB26	RNF4
HSPB1	RNF4
GHDC	RNF4
ATL1	RNF4
RPL10A	RNF4
CBX1	RNF4
CALML5	RNF4
RPL35	RNF4
SMARCA5	RNF4
NFE2L2	RNF4
FAM3C	RNF4
NOC4L	RNF4
ZNF587B	RNF4
LAMB2	RNF4
SLC7A5	RNF4
ZNF792	RNF4
TMEM41B	RNF4
DNAJC10	RNF4
MRPL27	RNF4
PRR20E	RNF4
LRRC8E	RNF4
NCAM1	RNF4
UBE2W	RNF4
MTPAP	RNF4
ZNF512	RNF4
DPY19L1	RNF4
UBE2L6	RNF4
ZFP37	RNF4
C20orf27	RNF4
ZNF146	RNF4
RBM7	RNF4
STX8	RNF4
ZSCAN26	RNF4
THAP1	RNF4
HOXA9	RNF4
CEMIP2	RNF4
USE1	RNF4
RCN3	RNF4
DSG1	RNF4
NCAPD2	RNF4
PAICS	RNF4
HNRNPC	RNF4
ZFP42	RNF4
LCE1B	RNF4
UTP18	RNF4
LIMD1	RNF4
AXL	RNF4
RRP1B	RNF4
GTF3C4	RNF4
VMP1	RNF4
GALNT7	RNF4
SMARCC1	RNF4
NEDD8	RNF4
NKX3-1	RNF4
NFXL1	RNF4
SUN1	RNF4
LCE2D	RNF4
ASPHD2	RNF4
VGLL3	RNF4
PDIA3	RNF4
LPCAT1	RNF4
CCDC85C	RNF4
LRPAP1	RNF4
UBTD2	RNF4
TCF20	RNF4
VMA21	RNF4
TMEM65	RNF4
TMUB2	RNF4
PIP	RNF4
ATN1	RNF4
TRAF7	RNF4
KLHL12	RNF4
SMC5	RNF4
POR	RNF4
GPC6	RNF4
TOPORS	RNF4
UBE4A	RNF4
DESI1	RNF4
NTAQ1	RNF4
ITFG1	RNF4
DDX18	RNF4
STX4	RNF4
H1-10	RNF4
CA12	RNF4
RERE	RNF4
ZNF581	RNF4
GLIPR1	RNF4
ZNF740	RNF4
SELENOS	RNF4
TMEM109	RNF4
PLGRKT	RNF4
TMUB1	RNF4
HMOX1	RNF4
FOXA2	RNF4
SLC5A6	RNF4
LXN	RNF4
HAGH	RNF4
CCNL1	RNF4
GTF2A1	RNF4
ZNF697	RNF4
PLRG1	RNF4
C6orf120	RNF4
RBM33	RNF4
ALCAM	RNF4
PODXL	RNF4
GLI3	RNF4
RBAK	RNF4
PLOD1	RNF4
PGRMC2	RNF4
PODXL2	RNF4
C18orf25	RNF4
ITGA2	RNF4
FKBP6	RNF4
NUP93	RNF4
GOLGA7	RNF4
ZNF28	RNF4
TBC1D20	RNF4
ALOX12B	RNF4
LMNB2	RNF4
GYS1	RNF4
EMC3	RNF4
DCAF1	RNF4
SBSN	RNF4
SEC22A	RNF4
DCBLD2	RNF4
ZNF320	RNF4
ZNF275	RNF4
SEPTIN3	RNF4
CHD8	RNF4
DCD	RNF4
SLC7A11	RNF4
ZNF691	RNF4
NUS1	RNF4
PPP2R5E	RNF4
EMC6	RNF4
ZNF362	RNF4
WDR74	RNF4
GZF1	RNF4
TP53I11	RNF4
PEX13	RNF4
DHX15	RNF4
LSG1	RNF4
SLX4	RNF4
CPD	RNF4
DTX3L	RNF4
ZFC3H1	RNF4
SLC29A1	RNF4
MGME1	RNF4
ARL14EP	RNF4
TMEM165	RNF4
CYC1	RNF4
PROCR	RNF4
TBL3	RNF4
DAD1	RNF4
TAP2	RNF4
HACD3	RNF4
YIPF3	RNF4
LRCH1	RNF4
CENPI	RNF4
DSG2	RNF4
GLI2	RNF4
LCE3B	RNF4
ARID3C	RNF4
CCL2	RNF4
FBN2	RNF4
MIS18BP1	RNF4
UBE2K	RNF4
GLG1	RNF4
CHERP	RNF4
CA2	RNF4
RRP1	RNF4
SEC62	RNF4
ZNF800	RNF4
ATXN7	RNF4
CYP20A1	RNF4
RSF1	RNF4
RLF	RNF4
BRAT1	RNF4
DSC1	RNF4
ZNF286A	RNF4
CHD1	RNF4
PROP1	RNF4
SCD5	RNF4
GPAA1	RNF4
UBE2E2	RNF4
TRAIP	RNF4
PSMD2	RNF4
ABCD1	RNF4
CREB5	RNF4
CD59	RNF4
CMC2	RNF4
TIMELESS	RNF4
EPM2AIP1	RNF4
HSDL1	RNF4
RBM15B	RNF4
LCE1E	RNF4
INTS5	RNF4
KPRP	RNF4
DNAJC1	RNF4
B4GALT1	RNF4
XPOT	RNF4
ZNF771	RNF4
FAM20B	RNF4
SLC39A14	RNF4
TMEM237	RNF4
PEX16	RNF4
ILVBL	RNF4
GOLIM4	RNF4
SF3B2	RNF4
PEDS1	RNF4
KRT2	RNF4
PCLAF	RNF4
LMF2	RNF4
FOXG1	RNF4
PIAS3	RNF4
DAG1	RNF4
MAFA	RNF4
C6orf89	RNF4
ABCB10	RNF4
ATP6AP2	RNF4
TWSG1	RNF4
TSN	RNF4
PEX12	RNF4
TFG	RNF4
M6PR	RNF4
ING3	RNF4
ZNF518A	RNF4
ERC2	RNF4
TSPO	RNF4
SV2A	RNF4
ZNF319	RNF4
CADM4	RNF4
RBM27	RNF4
ZNF597	RNF4
SCML2	RNF4
CTSC	RNF4
LMAN2	RNF4
PIGK	RNF4
NAA25	RNF4
EFNB1	RNF4
FADS2	RNF4
NUP210	RNF4
ZNF280C	RNF4
ZNF813	RNF4
TBC1D10B	RNF4
APMAP	RNF4
ZCCHC17	RNF4
ZNF12	RNF4
MGAT2	RNF4
RFX1	RNF4
CD276	RNF4
SLC30A7	RNF4
FOXJ2	RNF4
TRPS1	RNF4
ZC3H10	RNF4
ONECUT2	RNF4
CASZ1	RNF4
NAA35	RNF4
TSR3	RNF4
METAP1D	RNF4
EHHADH	RNF4
LPCAT4	RNF4
SUMO3	RNF4
ZNF70	RNF4
ZNF525	RNF4
NOVA2	RNF4
ZNF765	RNF4
CNEP1R1	RNF4
ESRRA	RNF4
ELOVL1	RNF4
GSX2	RNF4
ELMOD2	RNF4
CHD2	RNF4
KCT2	RNF4
ITGA5	RNF4
SLC30A1	RNF4
POU3F3	RNF4
METTL7B	RNF4
GLI4	RNF4
DLGAP3	RNF4
BTBD3	RNF4
RBM25	RNF4
ENDOD1	RNF4
QSOX2	RNF4
ZNF551	RNF4
CADM3	RNF4
ZNF142	RNF4
ZNF260	RNF4
PIGS	RNF4
ZIC3	RNF4
PCDHB5	RNF4
EPHX1	RNF4
ZNF205	RNF4
NKD1	RNF4
ZNF322	RNF4
BCAM	RNF4
PRDM1	RNF4
ZNF658	RNF4
MRC2	MAGEA8
CYBA	MAGEA8
ZNF417	MAGEA8
C17orf80	MAGEA8
STX17	MAGEA8
RTL8C	MAGEA8
SFXN3	MAGEA8
MAGEA3	MAGEA8
SLC25A15	MAGEA8
TIMM29	MAGEA8
METTL15	MAGEA8
TUBA1C	MAGEA8
NDUFA3	MAGEA8
DCP1B	MAGEA8
RAB3B	MAGEA8
HOOK3	MAGEA8
TGOLN2	MAGEA8
SLC25A6	MAGEA8
SLC26A2	MAGEA8
MTUS2	MAGEA8
MT-ND1	MAGEA8
TMEM126B	MAGEA8
DNAJC19	MAGEA8
TUBB8	MAGEA8
MAGEB4	MAGEA8
MFN1	MAGEA8
WT1	MAGEA8
NOMO1	MAGEA8
CCDC59	MAGEA8
LMO2	MAGEA8
POMK	MAGEA8
NDUFC2	MAGEA8
CHTF18	MAGEA8
NSUN3	MAGEA8
MELK	MAGEA8
SLC25A17	MAGEA8
COX11	MAGEA8
MTFP1	MAGEA8
ADIPOR1	MAGEA8
GFPT2	MAGEA8
PAM16	MAGEA8
VMP1	MAGEA8
TIMM17A	MAGEA8
TTC28	MAGEA8
LXN	MAGEA8
FASTKD3	MAGEA8
ZDHHC18	MAGEA8
MTARC1	MAGEA8
MTX3	MAGEA8
ACAD10	MAGEA8
DOT1L	MAGEA8
INTS5	MAGEA8
LMBRD2	MAGEA8
PEX16	MAGEA8
PKD2	MAGEA8
GPRIN1	MAGEA8
PLEKHH3	MAGEA8
ATP5MJ	MAGEA8
FOXF1	MAGEA8
GCA	MAGEA8
MRC2	FBXO6
COPB1	FBXO6
FASTKD5	FBXO6
SKP1	FBXO6
CAPRIN1	FBXO6
